dwid,db_date,year,month,day,hour,quarter,week,day_name,month_name,weekend_flag
2019010100,2019-01-01,2019,1,1,0,1,1,Tuesday,January,false
2019010101,2019-01-01,2019,1,1,1,1,1,Tuesday,January,false
2019010102,2019-01-01,2019,1,1,2,1,1,Tuesday,January,false
2019010103,2019-01-01,2019,1,1,3,1,1,Tuesday,January,false
2019010104,2019-01-01,2019,1,1,4,1,1,Tuesday,January,false
2019010105,2019-01-01,2019,1,1,5,1,1,Tuesday,January,false
2019010106,2019-01-01,2019,1,1,6,1,1,Tuesday,January,false
2019010107,2019-01-01,2019,1,1,7,1,1,Tuesday,January,false
2019010108,2019-01-01,2019,1,1,8,1,1,Tuesday,January,false
2019010109,2019-01-01,2019,1,1,9,1,1,Tuesday,January,false
2019010110,2019-01-01,2019,1,1,10,1,1,Tuesday,January,false
2019010111,2019-01-01,2019,1,1,11,1,1,Tuesday,January,false
2019010112,2019-01-01,2019,1,1,12,1,1,Tuesday,January,false
2019010113,2019-01-01,2019,1,1,13,1,1,Tuesday,January,false
2019010114,2019-01-01,2019,1,1,14,1,1,Tuesday,January,false
2019010115,2019-01-01,2019,1,1,15,1,1,Tuesday,January,false
2019010116,2019-01-01,2019,1,1,16,1,1,Tuesday,January,false
2019010117,2019-01-01,2019,1,1,17,1,1,Tuesday,January,false
2019010118,2019-01-01,2019,1,1,18,1,1,Tuesday,January,false
2019010119,2019-01-01,2019,1,1,19,1,1,Tuesday,January,false
2019010120,2019-01-01,2019,1,1,20,1,1,Tuesday,January,false
2019010121,2019-01-01,2019,1,1,21,1,1,Tuesday,January,false
2019010122,2019-01-01,2019,1,1,22,1,1,Tuesday,January,false
2019010123,2019-01-01,2019,1,1,23,1,1,Tuesday,January,false
2019010200,2019-01-02,2019,1,2,0,1,1,Wednesday,January,false
2019010201,2019-01-02,2019,1,2,1,1,1,Wednesday,January,false
2019010202,2019-01-02,2019,1,2,2,1,1,Wednesday,January,false
2019010203,2019-01-02,2019,1,2,3,1,1,Wednesday,January,false
2019010204,2019-01-02,2019,1,2,4,1,1,Wednesday,January,false
2019010205,2019-01-02,2019,1,2,5,1,1,Wednesday,January,false
2019010206,2019-01-02,2019,1,2,6,1,1,Wednesday,January,false
2019010207,2019-01-02,2019,1,2,7,1,1,Wednesday,January,false
2019010208,2019-01-02,2019,1,2,8,1,1,Wednesday,January,false
2019010209,2019-01-02,2019,1,2,9,1,1,Wednesday,January,false
2019010210,2019-01-02,2019,1,2,10,1,1,Wednesday,January,false
2019010211,2019-01-02,2019,1,2,11,1,1,Wednesday,January,false
2019010212,2019-01-02,2019,1,2,12,1,1,Wednesday,January,false
2019010213,2019-01-02,2019,1,2,13,1,1,Wednesday,January,false
2019010214,2019-01-02,2019,1,2,14,1,1,Wednesday,January,false
